"Asset_ID","Asset_Name","Asset_Type","Manufacturer","Model","Serial_Number","Install_Date","Criticality","Rated_Capacity","Capacity_Unit","Asset_Status","Expected_Life_Years","Warranty_End_Date","Site_GUID"
"AST0001","Fan 001","Fan","ABB","AXIAL-500","SN-000001","2018-02-04","Low","11687.49","m3/h","Active","15","04/02/2023","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0002","Motor 002","Motor","Siemens","M3BP","SN-000002","2024-06-06","Medium","11.65","kW","Active","12","06/06/2029","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0003","Fan 003","Fan","FläktGroup","CENT-750","SN-000003","2021-08-30","High","9563.63","m3/h","Active","12","30/08/2026","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0004","Conveyor 004","Conveyor","Dorner","MOVIMOT","SN-000004","2024-12-11","Medium","593.33","kg/h","Active","20","11/12/2029","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0005","Motor 005","Motor","ABB","SIMOTICS GP","SN-000005","2018-06-21","Medium","58.6","kW","Active","10","21/06/2023","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0006","Compressor 006","Compressor","Atlas Copco","GA45","SN-000006","2021-09-01","Low","35.42","kW","Active","12","01/09/2026","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0007","Conveyor 007","Conveyor","Dorner","3200 Series","SN-000007","2020-11-09","Medium","1490.35","kg/h","Active","15","09/11/2025","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0008","Motor 008","Motor","ABB","SIMOTICS GP","SN-000008","2020-05-09","High","44.01","kW","Active","12","09/05/2025","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0009","Pump 009","Pump","KSB","CR20","SN-000009","2019-02-09","Low","237.9","m3/h","Active","12","09/02/2024","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0010","Fan 010","Fan","FläktGroup","AXIAL-500","SN-000010","2017-03-26","Medium","12812.51","m3/h","Active","12","26/03/2022","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0011","Conveyor 011","Conveyor","Dorner","MOVIMOT","SN-000011","2015-12-04","Medium","2430.51","kg/h","Active","20","04/12/2020","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0012","Fan 012","Fan","ABB","AXIAL-500","SN-000012","2018-03-26","Low","19803.3","m3/h","Active","20","26/03/2023","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0013","Compressor 013","Compressor","Ingersoll Rand","R-Series","SN-000013","2018-03-08","High","51.61","kW","Active","15","08/03/2023","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0014","Conveyor 014","Conveyor","Dorner","MOVIMOT","SN-000014","2023-05-24","High","1746.6","kg/h","Active","12","24/05/2028","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0015","Compressor 015","Compressor","Ingersoll Rand","R-Series","SN-000015","2021-09-20","Medium","43.65","kW","Active","12","20/09/2026","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0016","Motor 016","Motor","Siemens","SIMOTICS GP","SN-000016","2022-04-14","Low","67.74","kW","Active","15","14/04/2027","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0017","Motor 017","Motor","Siemens","SIMOTICS GP","SN-000017","2017-11-04","High","26.14","kW","Active","20","04/11/2022","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0018","Compressor 018","Compressor","Ingersoll Rand","GA30","SN-000018","2015-04-06","Medium","44.18","kW","Active","15","06/04/2020","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0019","Motor 019","Motor","Siemens","M3BP","SN-000019","2022-01-16","High","22.9","kW","Active","12","16/01/2027","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0020","Pump 020","Pump","Grundfos","CR20","SN-000020","2023-05-19","Low","87.31","m3/h","Active","12","19/05/2028","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0021","Motor 021","Motor","ABB","M3BP","SN-000021","2020-07-31","Low","18.8","kW","Active","10","31/07/2025","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0022","Motor 022","Motor","ABB","SIMOTICS GP","SN-000022","2022-04-29","Medium","23.17","kW","Active","15","29/04/2027","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0023","Compressor 023","Compressor","Ingersoll Rand","GA30","SN-000023","2024-01-10","High","57.72","kW","Active","12","10/01/2029","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0024","Compressor 024","Compressor","Ingersoll Rand","GA30","SN-000024","2020-01-28","Low","30.07","kW","Maintenance","12","28/01/2025","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0025","Motor 025","Motor","Siemens","SIMOTICS GP","SN-000025","2023-03-19","High","50.21","kW","Active","12","19/03/2028","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0026","Conveyor 026","Conveyor","Dorner","MOVIMOT","SN-000026","2021-08-29","High","1478.91","kg/h","Active","20","29/08/2026","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0027","Fan 027","Fan","ABB","AXIAL-500","SN-000027","2023-11-30","High","10516.75","m3/h","Active","20","30/11/2028","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0028","Pump 028","Pump","KSB","CR20","SN-000028","2020-04-14","Low","80.14","m3/h","Active","15","14/04/2025","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0029","Conveyor 029","Conveyor","SEW-Eurodrive","3200 Series","SN-000029","2022-09-12","Medium","1524.19","kg/h","Active","15","12/09/2027","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0030","Fan 030","Fan","FläktGroup","AXIAL-500","SN-000030","2020-01-18","Low","12766.27","m3/h","Active","20","18/01/2025","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0031","Compressor 031","Compressor","Atlas Copco","GA30","SN-000031","2021-11-25","High","47.83","kW","Active","15","25/11/2026","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0032","Fan 032","Fan","FläktGroup","CENT-750","SN-000032","2016-09-15","Medium","8627.78","m3/h","Active","20","15/09/2021","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0033","Fan 033","Fan","ABB","AXIAL-500","SN-000033","2018-03-29","Medium","10238.14","m3/h","Active","20","29/03/2023","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0034","Motor 034","Motor","ABB","M3BP","SN-000034","2020-10-02","Low","16.73","kW","Active","20","02/10/2025","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0035","Fan 035","Fan","FläktGroup","CENT-750","SN-000035","2015-09-11","High","14952.53","m3/h","Active","10","11/09/2020","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0036","Pump 036","Pump","KSB","CR20","SN-000036","2015-12-04","Medium","248.89","m3/h","Active","20","04/12/2020","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0037","Compressor 037","Compressor","Ingersoll Rand","GA30","SN-000037","2016-02-02","Medium","45.99","kW","Active","15","02/02/2021","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0038","Motor 038","Motor","Siemens","M3BP","SN-000038","2023-07-02","Medium","60.91","kW","Active","12","02/07/2028","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0039","Conveyor 039","Conveyor","SEW-Eurodrive","3200 Series","SN-000039","2019-12-05","Medium","1505.27","kg/h","Active","20","05/12/2024","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0040","Compressor 040","Compressor","Atlas Copco","GA30","SN-000040","2017-03-26","High","45.82","kW","Active","10","26/03/2022","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0041","Fan 041","Fan","FläktGroup","CENT-750","SN-000041","2021-11-29","High","16215.78","m3/h","Active","10","29/11/2026","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0042","Conveyor 042","Conveyor","SEW-Eurodrive","3200 Series","SN-000042","2015-06-30","Medium","650.69","kg/h","Offline","10","30/06/2020","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0043","Conveyor 043","Conveyor","Dorner","MOVIMOT","SN-000043","2018-03-30","Medium","1613.6","kg/h","Active","15","30/03/2023","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0044","Pump 044","Pump","Grundfos","CR20","SN-000044","2016-09-17","Medium","78.02","m3/h","Offline","15","17/09/2021","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0045","Pump 045","Pump","KSB","CR20","SN-000045","2017-02-23","Low","191.78","m3/h","Active","15","23/02/2022","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0046","Conveyor 046","Conveyor","Dorner","MOVIMOT","SN-000046","2016-06-21","Low","2326.48","kg/h","Active","12","21/06/2021","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0047","Compressor 047","Compressor","Ingersoll Rand","GA30","SN-000047","2015-01-20","Medium","51.83","kW","Active","20","20/01/2020","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0048","Motor 048","Motor","Siemens","SIMOTICS GP","SN-000048","2018-01-20","Medium","63.76","kW","Active","15","20/01/2023","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0049","Compressor 049","Compressor","Ingersoll Rand","R-Series","SN-000049","2023-12-06","High","21.22","kW","Active","20","06/12/2028","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0050","Pump 050","Pump","KSB","Etanorm","SN-000050","2017-12-13","Medium","215.57","m3/h","Active","20","13/12/2022","26d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0051","Fan 051","Fan","FläktGroup","AXIAL-500","SN-000051","2018-01-31","High","12970.32","m3/h","Active","15","31/01/2023","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0052","Motor 052","Motor","Siemens","M3BP","SN-000052","2022-05-27","Low","35.84","kW","Active","10","27/05/2027","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0053","Motor 053","Motor","ABB","M3BP","SN-000053","2020-05-28","High","16.47","kW","Active","15","28/05/2025","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0054","Compressor 054","Compressor","Ingersoll Rand","GA30","SN-000054","2019-07-23","High","30.01","kW","Active","12","23/07/2024","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0055","Compressor 055","Compressor","Ingersoll Rand","GA30","SN-000055","2017-06-15","Low","42.17","kW","Active","12","15/06/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0056","Conveyor 056","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000056","2023-08-14","Medium","740.33","kg/h","Active","10","14/08/2028","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0057","Fan 057","Fan","ABB","AXIAL-500","SN-000057","2017-10-05","Medium","7629.95","m3/h","Offline","20","05/10/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0058","Pump 058","Pump","KSB","CR15","SN-000058","2016-07-04","Medium","179.95","m3/h","Active","12","04/07/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0059","Pump 059","Pump","KSB","CR15","SN-000059","2023-09-07","High","175.17","m3/h","Active","12","07/09/2028","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0060","Compressor 060","Compressor","Ingersoll Rand","GA30","SN-000060","2016-05-30","Medium","57.77","kW","Maintenance","20","30/05/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0061","Motor 061","Motor","ABB","M3BP","SN-000061","2020-04-15","Medium","46.66","kW","Active","15","15/04/2025","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0062","Motor 062","Motor","Siemens","M3BP","SN-000062","2024-12-27","Low","25.66","kW","Maintenance","10","27/12/2029","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0063","Fan 063","Fan","ABB","CENT-750","SN-000063","2024-02-07","High","6067.83","m3/h","Active","20","07/02/2029","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0064","Conveyor 064","Conveyor","Dorner","3200 Series","SN-000064","2019-06-14","Medium","1492.07","kg/h","Active","12","14/06/2024","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0065","Conveyor 065","Conveyor","Dorner","MOVIMOT","SN-000065","2023-08-13","Low","2106.96","kg/h","Active","10","13/08/2028","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0066","Fan 066","Fan","FläktGroup","AXIAL-500","SN-000066","2021-11-09","Medium","15974.72","m3/h","Active","20","09/11/2026","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0067","Pump 067","Pump","Grundfos","Etanorm","SN-000067","2020-11-13","Medium","221.68","m3/h","Maintenance","10","13/11/2025","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0068","Conveyor 068","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000068","2022-12-24","High","1510.5","kg/h","Maintenance","20","24/12/2027","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0069","Compressor 069","Compressor","Ingersoll Rand","GA30","SN-000069","2016-11-29","High","58.34","kW","Active","15","29/11/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0070","Fan 070","Fan","ABB","AXIAL-500","SN-000070","2019-12-25","Low","13601.57","m3/h","Maintenance","15","25/12/2024","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0071","Conveyor 071","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000071","2016-01-31","Medium","2004.75","kg/h","Active","15","31/01/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0072","Compressor 072","Compressor","Atlas Copco","GA30","SN-000072","2017-12-01","Low","22.23","kW","Offline","15","01/12/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0073","Conveyor 073","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000073","2022-05-29","Low","2173.93","kg/h","Active","10","29/05/2027","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0074","Conveyor 074","Conveyor","Dorner","MOVIMOT","SN-000074","2018-04-12","Medium","2143.72","kg/h","Active","12","12/04/2023","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0075","Pump 075","Pump","Grundfos","CR15","SN-000075","2023-11-11","High","222.63","m3/h","Active","12","11/11/2028","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0076","Fan 076","Fan","ABB","AXIAL-500","SN-000076","2024-04-21","Low","10643.89","m3/h","Active","15","21/04/2029","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0077","Motor 077","Motor","Siemens","M3BP","SN-000077","2018-04-20","Medium","36.42","kW","Active","12","20/04/2023","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0078","Motor 078","Motor","Siemens","SIMOTICS GP","SN-000078","2017-01-23","Medium","19.51","kW","Active","10","23/01/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0079","Compressor 079","Compressor","Atlas Copco","GA30","SN-000079","2021-08-31","Medium","34.99","kW","Maintenance","10","31/08/2026","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0080","Compressor 080","Compressor","Ingersoll Rand","GA30","SN-000080","2017-07-22","Medium","59.12","kW","Active","10","22/07/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0081","Conveyor 081","Conveyor","SEW-Eurodrive","MOVIMOT","SN-000081","2015-03-21","Medium","647.59","kg/h","Offline","15","21/03/2020","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0082","Motor 082","Motor","ABB","SIMOTICS GP","SN-000082","2024-07-05","High","33.56","kW","Active","10","05/07/2029","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0083","Conveyor 083","Conveyor","Dorner","3200 Series","SN-000083","2024-02-13","Low","1061.93","kg/h","Active","20","13/02/2029","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0084","Fan 084","Fan","FläktGroup","CENT-750","SN-000084","2016-01-08","High","11955.48","m3/h","Active","12","08/01/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0085","Fan 085","Fan","FläktGroup","CENT-750","SN-000085","2022-08-11","Medium","11798.61","m3/h","Active","15","11/08/2027","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0086","Compressor 086","Compressor","Atlas Copco","GA30","SN-000086","2020-07-29","Low","26.5","kW","Active","12","29/07/2025","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0087","Motor 087","Motor","Siemens","M3BP","SN-000087","2019-06-06","Medium","83.53","kW","Active","12","06/06/2024","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0088","Pump 088","Pump","Grundfos","CR15","SN-000088","2017-10-25","High","212.11","m3/h","Active","20","25/10/2022","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0089","Compressor 089","Compressor","Atlas Copco","GA30","SN-000089","2024-03-07","Medium","53.68","kW","Maintenance","10","07/03/2029","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0090","Compressor 090","Compressor","Ingersoll Rand","GA30","SN-000090","2023-09-06","High","23.01","kW","Active","20","06/09/2028","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0091","Compressor 091","Compressor","Atlas Copco","R-Series","SN-000091","2019-07-27","Low","50.76","kW","Active","10","27/07/2024","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0092","Pump 092","Pump","KSB","Etanorm","SN-000092","2018-03-14","High","100.29","m3/h","Active","10","14/03/2023","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0093","Conveyor 093","Conveyor","Dorner","3200 Series","SN-000093","2016-03-24","Medium","1216.33","kg/h","Active","20","24/03/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
"AST0094","Pump 094","Pump","KSB","CR20","SN-000094","2016-03-13","Low","220.44","m3/h","Active","12","13/03/2021","27d274a5-78b4-f111-aaad-6045bd0d0e15"
