Cost_ID,Asset_ID,WorkOrder_ID,Maintenance_ID,Failure_ID,Cost_Date,Cost_Type,Labour_Cost,Parts_Cost,Contractor_Cost,Downtime_Cost,Other_Cost,Total_Cost,Currency
CST00001,AST0001,WO00001,MNT00001,,2026-07-18,Inspection,155.4,18.73,0.0,0.0,73.2,247.33,GBP
CST00002,AST0001,WO00002,MNT00002,,2026-06-14,Preventive Maintenance,229.45,187.62,0.0,0.0,15.6,432.67,GBP
CST00003,AST0002,WO00003,MNT00003,,2026-08-03,Preventive Maintenance,62.0,36.26,0.0,0.0,60.11,158.37,GBP
CST00004,AST0002,WO00004,MNT00004,,2026-06-01,Preventive Maintenance,110.55,218.26,1171.41,0.0,83.24,1583.46,GBP
CST00005,AST0003,WO00005,MNT00005,,2026-07-11,Preventive Maintenance,136.5,79.45,0.0,0.0,18.34,234.29,GBP
CST00006,AST0003,WO00006,MNT00006,,2026-07-23,Preventive Maintenance,33.0,105.19,0.0,0.0,43.19,181.38,GBP
CST00007,AST0004,WO00007,MNT00007,,2026-06-26,Preventive Maintenance,199.8,101.54,0.0,0.0,13.95,315.29,GBP
CST00008,AST0004,WO00008,MNT00008,,2026-08-29,Preventive Maintenance,144.5,101.8,0.0,0.0,45.61,291.91,GBP
CST00009,AST0005,WO00009,MNT00009,,2026-08-21,Inspection,141.0,39.26,0.0,0.0,51.42,231.68,GBP
CST00010,AST0006,WO00010,MNT00010,,2026-08-02,Preventive Maintenance,207.0,185.88,827.17,0.0,17.05,1237.1,GBP
CST00011,AST0006,WO00011,MNT00011,,2026-07-04,Inspection,40.5,3.25,0.0,0.0,96.56,140.31,GBP
CST00012,AST0007,WO00012,MNT00012,,2026-06-15,Inspection,170.0,40.42,0.0,0.0,9.77,220.19,GBP
CST00013,AST0007,WO00013,MNT00013,,2026-06-16,Inspection,49.5,34.21,0.0,0.0,12.2,95.91,GBP
CST00014,AST0008,WO00014,MNT00014,,2026-07-28,Preventive Maintenance,60.0,158.65,1113.85,0.0,25.88,1358.38,GBP
CST00015,AST0009,WO00015,MNT00015,,2026-06-18,Preventive Maintenance,170.3,205.51,0.0,0.0,52.01,427.82,GBP
CST00016,AST0010,WO00016,MNT00016,,2026-08-17,Inspection,45.65,27.34,0.0,0.0,96.96,169.95,GBP
CST00017,AST0011,WO00017,MNT00017,,2026-08-29,Preventive Maintenance,180.5,237.04,0.0,0.0,89.48,507.02,GBP
CST00018,AST0012,WO00018,MNT00018,,2026-07-13,Inspection,66.5,29.89,0.0,0.0,8.85,105.24,GBP
CST00019,AST0012,WO00019,MNT00019,,2026-06-17,Preventive Maintenance,130.0,74.88,559.06,0.0,38.87,802.81,GBP
CST00020,AST0012,WO00020,MNT00020,,2026-07-07,Preventive Maintenance,118.8,95.98,0.0,0.0,35.68,250.46,GBP
