"Issue_ID","Issue_Name","Issue_Title","Asset_GUID","Reported_Date","Issue_Status","Severity","Detection_Method","Production_Impact","Root_Cause","Description","Source_Asset_ID","Source_Failure_DateTime","Source_Downtime_Hours","Source_Failure_Component"
"FLR0001","FLR0001 - Electrical Fault - AST0005","FLR0001 - Electrical Fault - AST0005","8d4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-29","Resolved","Medium","Sensor Alert","Minor","Overload","Failure type: Electrical Fault. Component: Electrical System. Source failure timestamp: 2026-08-29T03:00:00. Recorded downtime: 3.17 hours.","AST0005","2026-08-29T03:00:00","3.17","Electrical System"
"FLR0002","FLR0002 - Motor Failure - AST0009","FLR0002 - Motor Failure - AST0009","944a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-03","Resolved","Medium","Operator Inspection","Minor","Seal Degradation","Failure type: Motor Failure. Component: Motor. Source failure timestamp: 2026-07-03T03:00:00. Recorded downtime: 2.98 hours.","AST0009","2026-07-03T03:00:00","2.98","Motor"
"FLR0003","FLR0003 - Motor Failure - AST0009","FLR0003 - Motor Failure - AST0009","944a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-13","Resolved","Medium","Sensor Alert","Minor","Seal Degradation","Failure type: Motor Failure. Component: Motor. Source failure timestamp: 2026-08-13T04:00:00. Recorded downtime: 2.37 hours.","AST0009","2026-08-13T04:00:00","2.37","Motor"
"FLR0004","FLR0004 - Excessive Vibration - AST0009","FLR0004 - Excessive Vibration - AST0009","944a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-21","Resolved","Critical","Operator Inspection","Major","Component Wear","Failure type: Excessive Vibration. Component: Impeller. Source failure timestamp: 2026-07-21T10:00:00. Recorded downtime: 17.81 hours.","AST0009","2026-07-21T10:00:00","17.81","Impeller"
"FLR0005","FLR0005 - Pressure Loss - AST0018","FLR0005 - Pressure Loss - AST0018","a64a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-11","Resolved","High","Sensor Alert","Moderate","Lubrication Failure","Failure type: Pressure Loss. Component: Seal. Source failure timestamp: 2026-08-11T23:00:00. Recorded downtime: 9.06 hours.","AST0018","2026-08-11T23:00:00","9.06","Seal"
"FLR0006","FLR0006 - Motor Failure - AST0020","FLR0006 - Motor Failure - AST0020","aa4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-02","Resolved","High","Sensor Alert","Moderate","Overload","Failure type: Motor Failure. Component: Motor. Source failure timestamp: 2026-07-02T02:00:00. Recorded downtime: 10.38 hours.","AST0020","2026-07-02T02:00:00","10.38","Motor"
"FLR0007","FLR0007 - Bearing Failure - AST0025","FLR0007 - Bearing Failure - AST0025","b44a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-25","Resolved","Low","Sensor Alert","Minor","Seal Degradation","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-08-25T18:00:00. Recorded downtime: 1.44 hours.","AST0025","2026-08-25T18:00:00","1.44","Bearing"
"FLR0008","FLR0008 - Bearing Failure - AST0025","FLR0008 - Bearing Failure - AST0025","b44a42e0-28b5-f111-aaad-6045bd0d0e15","2026-08-09","Resolved","Medium","Sensor Alert","Minor","Overload","Failure type: Bearing Failure. Component: Bearing. Source failure timestamp: 2026-08-09T03:00:00. Recorded downtime: 4.39 hours.","AST0025","2026-08-09T03:00:00","4.39","Bearing"
"FLR0009","FLR0009 - Mechanical Wear - AST0029","FLR0009 - Mechanical Wear - AST0029","bc4a42e0-28b5-f111-aaad-6045bd0d0e15","2026-07-21","Resolved","Critical","Operator Inspection","Major","Overload","Failure type: Mechanical Wear. Component: Belt. Source failure timestamp: 2026-07-21T18:00:00. Recorded downtime: 27.27 hours.","AST0029","2026-07-21T18:00:00","27.27","Belt"
"FLR0010","FLR0010 - Overheating - AST0038","FLR0010 - Overheating - AST0038","6dcc3ae6-28b5-f111-aaad-6045bd0d0e15","2026-07-25","Resolved","Medium","Sensor Alert","Minor","Electrical Degradation","Failure type: Overheating. Component: Winding. Source failure timestamp: 2026-07-25T22:00:00. Recorded downtime: 3.49 hours.","AST0038","2026-07-25T22:00:00","3.49","Winding"
