Maintenance_ID,Asset_ID,Failure_ID,Maintenance_Date,Maintenance_Type,Maintenance_Reason,Component,Technician_ID,Duration_Hours,Planned_Flag,Maintenance_Status,Parts_Replaced,Notes
MNT00001,AST0001,,2026-07-18 02:00:00.000000000,Inspection,Routine equipment inspection,Fan Blade,TECH010,2.59,True,Completed,None,Planned maintenance completed
MNT00002,AST0001,,2026-06-14 18:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH008,3.53,True,Completed,None,Planned maintenance completed
MNT00003,AST0002,,2026-08-03 03:00:00.000000000,Preventive,Scheduled preventive maintenance,Winding,TECH005,1.24,True,Completed,Winding,Planned maintenance completed
MNT00004,AST0002,,2026-06-01 21:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH011,2.01,True,Completed,None,Planned maintenance completed
MNT00005,AST0003,,2026-07-11 15:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH003,2.1,True,Completed,None,Planned maintenance completed
MNT00006,AST0003,,2026-07-23 19:00:00.000000000,Preventive,Scheduled preventive maintenance,Fan Blade,TECH005,0.66,True,Completed,None,Planned maintenance completed
MNT00007,AST0004,,2026-06-26 00:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH005,3.33,True,Completed,None,Planned maintenance completed
MNT00008,AST0004,,2026-08-29 03:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH008,2.89,True,Completed,None,Planned maintenance completed
MNT00009,AST0005,,2026-08-21 11:00:00.000000000,Inspection,Routine equipment inspection,Winding,TECH002,2.82,True,Completed,None,Planned maintenance completed
MNT00010,AST0006,,2026-08-02 12:00:00.000000000,Preventive,Scheduled preventive maintenance,Lubrication System,TECH010,3.45,True,Completed,None,Planned maintenance completed
MNT00011,AST0006,,2026-07-04 23:00:00.000000000,Inspection,Routine equipment inspection,Lubrication System,TECH007,0.81,True,Completed,None,Planned maintenance completed
MNT00012,AST0007,,2026-06-15 01:00:00.000000000,Inspection,Routine equipment inspection,Roller Bearing,TECH010,3.4,True,Completed,None,Planned maintenance completed
MNT00013,AST0007,,2026-06-16 19:00:00.000000000,Inspection,Routine equipment inspection,Belt,TECH015,0.99,True,Completed,None,Planned maintenance completed
MNT00014,AST0008,,2026-07-27 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH011,1.2,True,Completed,Bearing,Planned maintenance completed
MNT00015,AST0009,,2026-06-18 10:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH010,2.62,True,Completed,None,Planned maintenance completed
MNT00016,AST0010,,2026-08-17 15:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH007,0.83,True,Completed,None,Planned maintenance completed
MNT00017,AST0011,,2026-08-29 10:00:00.000000000,Preventive,Scheduled preventive maintenance,Drive Motor,TECH005,3.61,True,Completed,None,Planned maintenance completed
MNT00018,AST0012,,2026-07-13 20:00:00.000000000,Inspection,Routine equipment inspection,Bearing,TECH014,1.33,True,Completed,None,Planned maintenance completed
MNT00019,AST0012,,2026-06-17 08:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH013,2.0,True,Completed,Motor,Planned maintenance completed
MNT00020,AST0012,,2026-07-06 23:00:00.000000000,Preventive,Scheduled preventive maintenance,Motor,TECH004,2.16,True,Completed,None,Planned maintenance completed
MNT00021,AST0013,,2026-08-09 22:00:00.000000000,Preventive,Scheduled preventive maintenance,Lubrication System,TECH007,1.21,True,Completed,None,Planned maintenance completed
MNT00022,AST0013,,2026-08-15 19:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH005,2.69,True,Completed,None,Planned maintenance completed
MNT00023,AST0013,,2026-07-14 19:00:00.000000000,Inspection,Routine equipment inspection,Motor,TECH014,1.15,True,Completed,None,Planned maintenance completed
MNT00024,AST0014,,2026-08-24 22:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH009,1.61,True,Completed,Belt,Planned maintenance completed
MNT00025,AST0014,,2026-07-11 12:00:00.000000000,Preventive,Scheduled preventive maintenance,Belt,TECH011,1.57,True,Completed,Belt,Planned maintenance completed
MNT00026,AST0014,,2026-07-23 09:00:00.000000000,Preventive,Scheduled preventive maintenance,Roller Bearing,TECH008,1.09,True,Completed,Roller Bearing,Planned maintenance completed
MNT00027,AST0015,,2026-08-03 08:00:00.000000000,Preventive,Scheduled preventive maintenance,Seal,TECH002,3.87,True,Completed,None,Planned maintenance completed
MNT00028,AST0015,,2026-08-08 04:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH002,3.99,True,Completed,None,Planned maintenance completed
MNT00029,AST0016,,2026-08-13 07:00:00.000000000,Preventive,Scheduled preventive maintenance,Bearing,TECH005,2.72,True,Completed,None,Planned maintenance completed
