Action_ID,Action_Title,Issue_ID,Action_Type,Action_Status,Scheduled_Date,Started_Date,Completed_Date,Notes,Estimated_Cost,Actual_Cost
MNT00001,Inspection - AST0001,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00002,Preventive - AST0001,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00003,Preventive - AST0002,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00004,Preventive - AST0002,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00005,Preventive - AST0003,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00006,Preventive - AST0003,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00007,Preventive - AST0004,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00008,Preventive - AST0004,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00009,Inspection - AST0005,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00010,Preventive - AST0006,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00011,Inspection - AST0006,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00012,Inspection - AST0007,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00013,Inspection - AST0007,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00014,Preventive - AST0008,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00015,Preventive - AST0009,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00016,Inspection - AST0010,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00017,Preventive - AST0011,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00018,Inspection - AST0012,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00019,Preventive - AST0012,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00020,Preventive - AST0012,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00021,Preventive - AST0013,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00022,Preventive - AST0013,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00023,Inspection - AST0013,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00024,Preventive - AST0014,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00025,Preventive - AST0014,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00026,Preventive - AST0014,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00027,Preventive - AST0015,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00028,Preventive - AST0015,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00029,Preventive - AST0016,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00030,Preventive - AST0016,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00031,Preventive - AST0017,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00032,Inspection - AST0017,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00033,Inspection - AST0018,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00034,Preventive - AST0018,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00035,Preventive - AST0019,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00036,Preventive - AST0019,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00037,Preventive - AST0019,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00038,Preventive - AST0020,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00039,Inspection - AST0021,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00040,Preventive - AST0021,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00041,Preventive - AST0021,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00042,Preventive - AST0022,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00043,Preventive - AST0023,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00044,Inspection - AST0023,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00045,Preventive - AST0024,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00046,Inspection - AST0024,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00047,Inspection - AST0025,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00048,Preventive - AST0026,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00049,Preventive - AST0026,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00050,Preventive - AST0027,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00051,Preventive - AST0027,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00052,Preventive - AST0027,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00053,Preventive - AST0028,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00054,Inspection - AST0028,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00055,Preventive - AST0029,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00056,Preventive - AST0029,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00057,Inspection - AST0030,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00058,Preventive - AST0030,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00059,Preventive - AST0031,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00060,Preventive - AST0031,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00061,Preventive - AST0031,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00062,Preventive - AST0032,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00063,Preventive - AST0033,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00064,Preventive - AST0033,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00065,Inspection - AST0034,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00066,Preventive - AST0035,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00067,Inspection - AST0035,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00068,Preventive - AST0036,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00069,Inspection - AST0036,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00070,Preventive - AST0037,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00071,Preventive - AST0038,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00072,Preventive - AST0038,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00073,Preventive - AST0039,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00074,Inspection - AST0039,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00075,Preventive - AST0040,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00076,Preventive - AST0040,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00077,Inspection - AST0041,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00078,Preventive - AST0042,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00079,Inspection - AST0043,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00080,Preventive - AST0043,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00081,Inspection - AST0043,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00082,Preventive - AST0044,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00083,Preventive - AST0044,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00084,Preventive - AST0045,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00085,Inspection - AST0045,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00086,Preventive - AST0046,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00087,Preventive - AST0046,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00088,Preventive - AST0047,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00089,Inspection - AST0047,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00090,Preventive - AST0048,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00091,Preventive - AST0048,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00092,Preventive - AST0049,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00093,Preventive - AST0049,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00094,Preventive - AST0050,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00095,Preventive - AST0050,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00096,Inspection - AST0051,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00097,Inspection - AST0051,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00098,Preventive - AST0052,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00099,Preventive - AST0052,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00100,Inspection - AST0053,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00101,Preventive - AST0053,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00102,Inspection - AST0054,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00103,Preventive - AST0054,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00104,Inspection - AST0054,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00105,Preventive - AST0055,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00106,Preventive - AST0055,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00107,Preventive - AST0056,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00108,Preventive - AST0056,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00109,Preventive - AST0057,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00110,Preventive - AST0057,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00111,Preventive - AST0058,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00112,Preventive - AST0058,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00113,Preventive - AST0059,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00114,Preventive - AST0060,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00115,Preventive - AST0060,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00116,Preventive - AST0060,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00117,Inspection - AST0061,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00118,Preventive - AST0061,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00119,Inspection - AST0062,,Inspection,Planned,,,,Routine equipment inspection,,
MNT00120,Preventive - AST0062,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00121,Preventive - AST0063,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00122,Preventive - AST0064,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00123,Preventive - AST0064,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00124,Preventive - AST0065,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00125,Preventive - AST0065,,Preventive,Planned,,,,Scheduled preventive maintenance,,
MNT00126,Preventive - AST0065,,Preventive,Planned,,,,Scheduled preventive maintenance,,
